Pegel,Gewässer,Latitude,Longitude
MANNHEIM,RHEIN,49.48394,8.455165
WORMS,RHEIN,49.631837,8.377519
NIERSTEIN-OPPENHEIM,RHEIN,49.864981,8.352376
Bodenheim,RHEIN,49.93565,8.342776
MAINZ,RHEIN,50.003995,8.275319
OESTRICH,RHEIN,50.002866,8.030048
BINGEN,RHEIN,49.970342,7.899668
KAUB,RHEIN,50.085438,7.764962
SANKT GOAR,RHEIN,50.152557,7.712615
BOPPARD,RHEIN,50.232914,7.592132
BRAUBACH,RHEIN,50.270501,7.645667
KOBLENZ,RHEIN,50.35864,7.604741
Neuwied Stadt,RHEIN,50.424277,7.457453
ANDERNACH,RHEIN,50.44339,7.392056
OBERWINTER,RHEIN,50.61369,7.210222
BONN,RHEIN,50.736398,7.108045
KÖLN,RHEIN,50.936949,6.9633
DÜSSELDORF,RHEIN,51.225498,6.769891
DUISBURG-RUHRORT,RHEIN,51.455345,6.727927
WESEL,RHEIN,51.646143,6.60682
REES,RHEIN,51.756953,6.395692
EMMERICH,RHEIN,51.829252,6.245594
LOBITH,RHEIN,51.849827,6.112447
PANNERDENSE KOP,RHEIN,51.869724,6.040078
DUISBURG-MEIDERICH SCHLEUSE OW,RHK,51.451718,6.775962
DUISBURG-MEIDERICH SCHLEUSE UW,RHK,51.45237,6.779116
OBERHAUSEN SCHLEUSE UW,RHK,51.478972,6.815457
OBERHAUSEN SCHLEUSE OW,RHK,51.482137,6.821447
GELSENKIRCHEN SCHLEUSE UW,RHK,51.529792,7.053885
GELSENKIRCHEN SCHLEUSE OW,RHK,51.532228,7.059888
WANNE EICKEL SCHLEUSE UW,RHK,51.547248,7.158004
WANNE EICKEL SCHLEUSE OW,RHK,51.54816,7.165994
HERNE UW,RHK,51.603102,7.306141
HERNE OW,RHK,51.5646,7.245824
WOLFSBRUCH OP,RBG,53.182436,12.90535
WOLFSBRUCH UP,RBG,53.182159,12.902642
SCHLEUSE ROTHENSEE UP,RVK,52.220509,11.674397
MAGDEBURG-RO NWS,RVK,52.197037,11.687267
RUHRWEHR OW,RUHR,51.445923,6.757437
SCHLOSSBRÜCKE MÜLHEIM,RUHR,51.426761,6.875965
Hattingen,RUHR,51.39975,7.161034
RUTHENSTROM-SPERRWERK,RuS,53.71996,9.419407
WOLTERSDORF UP,RÜG,52.44177,13.764182
WOLTERSDORF OP,RÜG,52.443323,13.764874
GROSS ROSENBURG,SAALE,51.917114,11.874009
CALBE GRIZEHNE,SAALE,51.916412,11.812214
CALBE UP,SAALE,51.906279,11.788819
CALBE OP,SAALE,51.901075,11.788712
NIENBURG (Saale),SAALE,51.839183,11.772201
BERNBURG UP,SAALE,51.796793,11.735423
BERNBURG OP,SAALE,51.795845,11.733834
ALSLEBEN UP,SAALE,51.707552,11.677369
ALSLEBEN OP,SAALE,51.70638,11.679214
ROTHENBURG UP,SAALE,51.655297,11.751276
ROTHENBURG OP,SAALE,51.653861,11.752179
WETTIN UP,SAALE,51.582342,11.792978
WETTIN OP,SAALE,51.582607,11.795328
TROTHA UP,SAALE,51.514252,11.954553
TROTHA OP,SAALE,51.513686,11.954885
RÖPZIG,SAALE,51.435071,11.944652
RISCHMÜHLE UP,SAALE,51.350595,12.003389
RISCHMÜHLE OP,SAALE,51.350199,12.002255
Kanzem UP,SAAR,,
Kanzem OP,SAAR,,
Schoden SKA,SAAR,49.63852,6.574561
Schoden OP,SAAR,,
Schoden UP,SAAR,49.639524,6.573535
Serrig UP,SAAR,49.565452,6.589894
Serrig OP,SAAR,,
Mettlach UP,SAAR,49.491992,6.587414
Mettlach OP,SAAR,,
Fremersdorf,SAAR,49.408935,6.648424
Rehlingen UP,SAAR,49.376259,6.699107
Rehlingen OP,SAAR,,
Lisdorf UP,SAAR,49.298685,6.764638
Lisdorf OP,SAAR,,
Saarbrücken UP,SAAR,,
Saarbrücken OP,SAAR,,
Westspange,SAAR,49.23661,6.980389
Sankt Arnual,SAAR,49.214872,7.022665
Güdingen UP,SAAR,,
Güdingen OP,SAAR,,
Hanweiler,SAAR,49.114328,7.065613
SCHWEDT SCHLEUSE AP,SQF,53.070168,14.323424
SCHWINGE-SPERRWERK,Schwinge,53.624852,9.514316
BERLIN-CHARLOTTENBURG UP,SOW,52.530037,13.282545
BERLIN-CHARLOTTENBURG OP,SOW,52.531423,13.292224
BERLIN-MÜHLENDAMM UP,SOW,52.514897,13.40869
BERLIN-MÜHLENDAMM OP,SOW,52.51446,13.41146
BERLIN-KÖPENICK,SOW,52.42969,13.573986
WERNSDORF UP,SOW,52.372628,13.707554
WERNSDORF OP,SOW,52.371176,13.711208
FÜRSTENWALDE UP,SOW,52.354132,14.065137
FÜRSTENWALDE OP,SOW,52.35426,14.066528
KERSDORF UP,SOW,52.305107,14.239081
KERSDORF OP,SOW,52.304576,14.241758
EISENHÜTTENSTADT SCHL. OP,SOW,52.132167,14.652209
EISENHÜTTENSTADT SCHL. UP,SOW,52.132134,14.656283
KUMMERSDORF UP,SKG,52.268776,13.8646
KUMMERSDORF OP,SKG,52.267397,13.866129
STORKOW UP,SKG,52.258404,13.931064
STORKOW OP,SKG,52.258571,13.933564
WENDISCH RIETZ UP,SKG,52.214286,14.002967
WENDISCH RIETZ OP,SKG,52.21419,14.00433
GRÖNHUDE,STÖR,53.935698,9.690579
BREITENBERG,STÖR,53.927679,9.632319
ITZEHOE HAFEN,STÖR,53.924459,9.500605
STÖR-SPERRWERK BP,STÖR,53.826148,9.4014
BANZKOW UP,STW,53.522837,11.521817
BANZKOW OP,STW,53.523758,11.520193
SCHWERIN WERDERBRÜCKE,STW,53.646392,11.427446
KLEINMACHNOW UP,TeK,52.395529,13.207976
KLEINMACHNOW OP,TeK,52.395689,13.209949
KANNENBURG OP,TlG,53.074625,13.392109
KANNENBURG UP,TlG,53.074459,13.39129
TEMPLIN OP,TlG,53.122503,13.495306
TEMPLIN UP,TlG,53.122249,13.494754
Herrendurchstich,TRAVE,,
LÜBECK-BAUHOF,TRAVE,53.893008,10.703065
TRAVEMÜNDE,TRAVE,53.958024,10.872182
FRIEDRICHSTADT TREENE,TREENE,54.373651,9.083813
KETZIN,UHW,52.463153,12.856784
BRANDENBURG OP,UHW,52.420872,12.580816
BRANDENBURG UP,UHW,52.423663,12.568843
PLAUE OP,UHW,52.402702,12.393022
PLAUE UP,UHW,52.402965,12.394772
TIECKOW,UHW,52.472729,12.447503
BAHNITZ OP,UHW,52.501356,12.418712
BAHNITZ UP,UHW,52.50076,12.415237
RATHENOW OP,UHW,52.60049,12.313837
RATHENOW UP,UHW,52.607445,12.321016
ALBERTSHEIM,UHW,52.655945,12.333711
GRÜTZ OP,UHW,52.667155,12.259671
GRÜTZ UP,UHW,52.666548,12.254618
WARNAU POLDER,UHW,52.740119,12.204582
GÜLPE OP,UHW,52.738531,12.221626
GARZ OP,UHW,52.745939,12.214897
GARZ UP,UHW,52.748612,12.212689
TRÜBENGRABEN POLDER,UHW,52.817574,12.097664
HAVELBERG STADT,UHW,52.823201,12.076562
HAVELBERG UP,UHW,52.830994,12.057095
HAVELBERG EP,UHW,52.833745,12.053033
QUITZÖBEL OP,UHW,52.880862,12.005425
QUITZÖBEL UP,UHW,52.880772,12.004058
NEUWERBEN EP,UHW,52.877357,12.008008
GNEVSDORF OP,UHW,52.907606,11.887245
GNEVSDORF EP,UHW,52.907993,11.88597
HOHENSAATEN OST AP,VKH,52.874433,14.150973
VRANANY,MOLDAU,,
NIJMEGEN HAVEN,WAAL,51.852455,5.850674
TIEL,WAAL,51.900532,5.455684
ZALTBOMMEL,WAAL,,
VUREN,WAAL,,
ROSTOCK MÜHLENDAMM OW,WARNOW,54.082438,12.154273
ROSTOCK MÜHLENDAMM UW,WARNOW,54.083064,12.155109
MARIENTHAL OP,WtG,53.051363,13.292742
MARIENTHAL UP,WtG,53.051253,13.293603
EICHHORST OP,WbG,52.891138,13.639019
EICHHORST UP,WbG,52.891424,13.638876
LETZTER HELLER,WERRA,51.415651,9.678081
ALLENDORF,WERRA,51.276767,9.966471
HELDRA,WERRA,51.125008,10.196998
FRIEDRICHSFELD SCHLEUSE UW,WDK,51.629017,6.613936
FRIEDRICHSFELD SCHLEUSE OW,WDK,51.627231,6.623105
HÜNXE SCHLEUSE UW,WDK,51.648299,6.769074
HÜNXE SCHLEUSE OW,WDK,51.648569,6.780465
DORSTEN SCHLEUSE UW,WDK,51.663001,6.998495
DORSTEN SCHLEUSE OW,WDK,51.662803,7.010732
FLAESHEIM SCHLEUSE UW,WDK,51.720382,7.238069
FLAESHEIM SCHLEUSE OW,WDK,51.71662,7.246876
AHSEN SCHLEUSE UW,WDK,51.689015,7.321517
AHSEN SCHLEUSE OW,WDK,51.686979,7.325449
DATTELN SCHLEUSE UW,WDK,51.671378,7.353662
DATTELN SCHLEUSE OW,WDK,51.662988,7.364979
LT ALTE WESER (RADAR),WESER,,
GROSSE WESERBRÜCKE,WESER,53.073097,8.803636
HANN.MUENDEN,WESER,51.425789,9.640917
STROHAUSER PLATE OST,WESER,,
OSLEBSHAUSEN,WESER,53.119797,8.712215
VEGESACK,WESER,53.169406,8.619533
FARGE,WESER,53.204709,8.510193
ELSFLETH,WESER,53.263946,8.481417
WAHMBECK,WESER,51.625616,9.519728
BRAKE,WESER,53.315979,8.486546
KARLSHAFEN,WESER,51.647986,9.438681
RECHTENFLETH,WESER,53.381162,8.500554
NORDENHAM,WESER,53.464497,8.488052
BLEXEN ABZ,WESER,53.51758,8.537412
BHV ALTER LEUCHTTURM,WESER,53.544956,8.568175
HÖXTER,WESER,51.775801,9.40047
ROBBENSÜDSTEERT,WESER,53.639224,8.445202
DWARSGAT,WESER,53.718636,8.307616
BODENWERDER,WESER,51.973727,9.515736
LEUCHTTURM ALTE WESER,WESER,53.863269,8.127572
HAMELN WEHRBERGEN,WESER,52.123731,9.306544
RINTELN,WESER,52.189747,9.081705
VLOTHO,WESER,52.176396,8.862407
PORTA,WESER,52.248709,8.922041
PETERSHAGEN,WESER,52.382338,8.970778
STOLZENAU,WESER,52.51825,9.077735
LIEBENAU,WESER,52.594206,9.112772
NIENBURG,WESER,52.644153,9.204659
DRAKENBURG,WESER,52.693099,9.225581
HOYA,WESER,52.800984,9.146924
DÖRVERDEN,WESER,52.852272,9.210322
INTSCHEDE,WESER,52.964169,9.125799
DREYE,WESER,53.014359,8.891252
WESERWEHR OW,WESER,53.058583,8.869127
WESERWEHR UW,WESER,53.060246,8.854803
GARTZ,WOD,53.206332,14.394265
MESCHERIN,WOD,53.250879,14.436433
DORNBUSCH BRÜCKE,WSE,53.737776,9.348017
WISCHHAFEN SPERRWERK,WSE,53.785178,9.340786
BORGFELD,WÜMME,53.133971,8.894403
NIEDERBLOCKLAND,WÜMME,53.161504,8.826505
